title,file_size_gb,date_released,developer,publisher,platform
Call of Duty: Modern Warfare,225,10/25/2019,Infinity Ward,Activision,BattleNet
ARK Survival Evolved,163.12,8/29/2017,Studio Wildcard,Studio Wildcard,Steam
Battlefield V,108,11/12/2018,Dice,EA,Playstation Network
Grand Theft Auto V,105.16,4/14/2015,Rockstar,Rockstar,Steam
Call of Duty: Black Ops 4,100,10/12/2018,Treyarch,Activision,BattleNet
Call of Duty: Black Ops 3,91.83,11/6/2015,Treyarch,Activision,Steam
Call of Duty: WWII,90.82,9/3/2017,Sledgehammer Games,Activision,Steam
Killing Floor 2,82.09,11/18/2016,Tripwire Interactive,Tripwire Interactive,Steam
Payday 2,80.92,8/13/2013,Overkill Software,Starbreeze Publishing,Steam
Borderlands 3,75,9/13/2019,Gearbox Software,2K,Epic Games
Metro Exodus,70,6/18/2021,4A Games,Deep Silver,Playstation Network
DOOM,68.69,5/13/2016,Id Software,Bethesda Softworks,Steam
Far Cry 5,66.68,3/27/2018,Ubisoft,Ubisoft,Steam
theHunter: Call of the Wild,60,11/25/2021,Expansive Worlds,Expansive Worlds,Epic Games
Apex Legends,53.54,11/4/2020,Respawn Entertainment,Electronic Arts,Steam
Dead by Daylight,50,12/9/2021,Behaviour Interactive,Behaviour Interactive,Epic Games
The Binding of Isaac,46.29,9/28/2011,Edmund McMillen,Edmund McMillen,Steam
Elden Ring,46,2/25/2022,FromSoftware,Bandai Namco Entertainment,Playstation Network
Bioshock Infinite,41.49,3/26/2013,Irrational Games,2k,Steam
Arma 3,40.55,9/13/2013,Bohemia Interactive,Bohemia Interactive,Steam
Dying Light,39.76,1/26/2015,Techland,Techland,Steam
Fortnight,39,7/21/2017,Epic Games,Epic Games,Epic Games
Dota 2,36.53,7/9/2013,Valve,Valve,Steam
Far Cry 4,33.02,11/18/2014,Ubisoft,Ubisoft,Steam
Halo Infinite,31.69,11/15/2021,343 Industries,Xbox Games Studios,Steam
PUBG: Battlegrounds,30.19,12/21/2017,Krafton,Krafton,Steam
PC Building Simulator,30,10/7/2021,The Irregular Corporation,The Irregular Corporation,Epic Games
Metal Gear Solid V: The Phantom Pain,29.08,9/1/2015,Konami Digital Entertainment,Konami Digital Entertainment,Steam
Counter Strike: Global Defensive,28.21,8/21/2012,Valve,Valve,Steam
Metal Gear Solid V: The Phantom Pain,28,9/1/2015,Konami Digital Entertainment,Konami Digital Entertainment,Playstation Network
Fallout 4,27.49,11/10/2015,Bethesda Game Studios,Bethesda Softworks,Steam
Resident Evil Resistance,25.34,4/3/2020,Capcom Co,Capcom Co,Steam
Watch Dogs,25,3/19/2020,Ubisoft,Ubisoft,Epic Games
Metal Gear Rising: Revengeance,24.62,1/9/2014,Platinum Games,Konami Digital Entertainment,Steam
Thief,23.33,2/25/2014,Feral Interactive,Feral Interactive,Steam
RAGE,23.27,10/4/2011,Id Software,Bethesda Softworks,Steam
Grand Theft Auto IV,22.45,12/2/2008,Rockstar,Rockstar,Steam
Resident Evil 3,22.26,4/2/2020,Capcom Co,Capcom Co,Steam
BioShock Remastered,20.7,9/15/2016,2k,2k,Steam
BioShock 2 Remastered,19.82,9/11/2016,2k,2k,Steam
